GENE_NAME	human
ADAD1	125.38
GUCY1A3	2.44
FBXO8	14.19
CEP44	9.25
HPGD	2.06
ASB5	6.76
C4orf45	8.83
TMEM144	25.78
PDK2	37.4
TGFBR3	32.82
FAM198B	5.72
NPY1R	3.88
NPY5R	2.29
NAA15	5.77
IL15	4.75
FAM160A1	5.41
KIAA0947	5.16
HHIP	5.19
ANAPC10	16.71
ABCE1	27.09
PRMT10	11.24
ITGA2	0.28
SLC45A2	1.5
EDIL3	3.64
ELOVL7	1.85
NDUFAF2	31.04
LMBRD2	1.55
RANBP3L	0.74
NIPBL	18.25
SLC25A46	21.84
PGGT1B	6.76
HES2	3.62
F2RL2	0.19
CCDC112	20.78
C5orf63	9.33
F2RL1	0.29
WDR41	33.72
NEDD4	71.16
SCGB3A2	20.21
HTR4	0.22
ESM1	0.44
ARSK	1.69
RHOBTB3	16.3
PIGB	6.3
SERINC5	20.34
ENPP6	3.12
PRIMPOL	6.08
ERAP1	21.38
CMYA5	2.33
EGFLAM	30.78
KIAA1430	31.58
TMEM174	0.16
CARTPT	20.96
RICTOR	5.27
PAPD4	23.84
EBF1	19.97
UBLCP1	10.28
FAM170A	34.96
UTP15	2.82
GNB5	24.0
TLR3	4.46
KLKB1	1.31
GFM2	12.45
TERT	2.45
CCDC127	12.76
GPR111	0.25
SEPT8	19.28
GDF9	7.2
LEAP2	2.15
SLC35A1	9.48
GRIK2	0.68
FABP7	0.26
TLX3	0.09
TXLNB	6.09
FAM26D	0.12
T	0.79
CREBRF	11.72
DCBLD1	11.59
SFXN1	15.99
SAMD3	7.31
ITGA3	8.45
TMEM200A	4.14
IL22RA2	0.0
DACT2	0.61
PDSS2	5.39
STXBP5	17.63
IL31RA	1.52
PI16	20.12
LRP6	17.35
TBX20	1.13
DAGLB	14.56
KIAA0895	17.22
STK17A	11.87
TRA2A	41.56
GALNT10	18.6
SAP30L	37.92
HCN1	0.1
MYOZ3	5.13
COG5	19.56
GUCY2C	0.16
NEUROD6	0.0
C7orf60	7.97
GPR85	6.23
SLU7	80.94
CAMLG	74.46
BMPER	1.77
RELL2	9.32
KCNK5	1.91
KIF6	11.03
SLC29A4	6.97
C7orf62	34.45
CDCA7L	43.96
SP8	0.45
MIOS	17.99
KIAA1324L	22.17
USP49	8.04
SYTL3	12.82
PHRF1	27.96
IQUB	21.63
HEY1	6.91
ZNF704	17.31
SHH	0.31
FNDC1	0.55
CHMP4C	0.61
SLC13A4	6.08
IKBKAP	29.8
PGAM2	330.63
BRI3	124.13
LMTK2	7.37
CTSB	131.56
ADCY1	4.36
SUN3	26.59
NUCB2	71.67
C7orf57	2.71
HNF4G	4.25
RAD21	140.41
MED30	13.42
TNFRSF11B	0.47
SBSPON	9.17
PHKG1	4.91
EN2	0.85
KCNV1	0.53
CSMD3	3.38
SPIDR	49.83
ORC5	16.02
OSGIN2	13.92
SUN1	139.96
OXR1	42.81
PTPN3	8.4
TMEM74	1.29
GPR146	8.1
GPER1	1.68
UNCX	0.13
NOS3	25.59
MICALL2	18.76
CA3	2.27
SPTB	3.76
SLC4A2	42.37
TMUB1	21.78
GBX1	12.33
DAPP1	0.51
FZD6	4.5
CTHRC1	4.79
TP53INP1	13.39
INTS8	59.36
KIAA1429	38.55
FGF10	5.1
FREM1	5.62
GEM	15.93
PDP1	38.7
TMEM67	13.76
KIAA0196	7.91
FAM219A	16.33
C9orf24	163.14
SNAPC3	102.03
SLC44A1	5.1
PSIP1	83.62
ABCA1	4.23
TMEM260	8.98
FXN	9.39
ZMAT4	1.15
NKX6-3	0.23
TMEM71	1.46
MAMDC2	3.99
CPA6	0.25
C8orf34	0.99
TMC1	1.93
SMG6	63.78
KDM1B	44.55
HGSNAT	14.2
RASEF	12.03
GKAP1	145.77
KIF27	34.44
C9orf64	7.44
SSMEM1	28.4
TRPV6	6.85
EXOC5	37.57
C7orf34	90.2
ANKS6	13.2
ZHX1	11.8
CXorf22	0.54
CYBB	3.17
MID1IP1	28.43
CLTCL1	97.28
C9orf84	6.89
CXorf58	2.07
KIAA1958	8.81
PTCHD1	0.56
RNF183	4.81
ASB11	0.23
PCDH19	0.95
PIGA	5.12
FIGF	2.07
OR1Q1	0.0
FGF22	1.62
STRBP	60.54
GAPVD1	32.28
WNK2	27.19
ATP7A	0.69
ZNF367	2.91
HDX	0.92
FSTL3	37.96
NOL6	29.41
AQP3	4.06
TRMT10B	4.76
VCP	167.47
PIGO	16.1
STOML2	58.53
BRWD3	4.38
SLITRK5	0.4
ARMC3	31.66
OTUD1	10.94
ARHGAP12	7.23
FAT3	3.76
HECTD2	1.99
FBXO33	14.12
GPR101	0.04
CLDN2	0.07
LAMP2	20.03
LRFN5	3.76
LRRC18	63.38
WRN	3.9
MARCH8	87.4
TSHR	0.13
GTF2A1	33.95
ZCCHC24	12.94
MNT	24.18
PGM2L1	1.12
PHYHIPL	44.14
SLC16A9	1.04
INPPL1	47.45
PHOX2A	2.2
GJB2	2.19
CRYL1	10.02
REEP3	9.65
HEPACAM	0.12
MICU2	25.72
C11orf82	6.22
PCF11	42.44
PKNOX2	8.69
LRR1	56.42
C10orf10	81.98
JMJD6	59.7
ZNF22	3.88
KLHDC2	55.6
EML5	4.09
NEMF	13.76
RPUSD4	18.85
ARF6	44.38
TTC8	23.52
TMEM63C	14.77
NGB	0.42
NOXRED1	13.85
POLB	47.84
CDX2	0.13
AMER2	2.66
DRGX	0.17
NUDT5	22.74
DACT1	30.21
OXGR1	0.15
UCMA	0.08
BEND7	39.65
TAF3	8.51
VSTM4	7.59
VDAC2	120.36
SOHLH1	16.25
SLC18A2	1.57
PDZD8	65.29
WIPI1	31.5
ZNF503	5.78
QSOX2	11.49
NSD1	35.2
ENOX2	4.93
CLEC1B	1.85
SNAPC4	15.39
TMEM52B	1.88
PMPCA	48.03
FRMPD1	5.52
FRMD7	0.07
AK8	19.08
C9orf9	139.5
GFI1B	2.15
FAM69B	17.47
ZMYND19	75.91
STOX1	2.69
GBA2	44.5
RET	3.79
BMS1	9.78
STK32C	61.64
KIAA1462	10.63
METTL17	42.47
SLC39A2	0.0
NDST1	12.17
NDRG2	113.83
ARHGEF40	12.43
ZNF219	12.23
C12orf50	35.98
CASP7	6.67
C10orf118	8.82
ITGA2B	10.55
VWA2	2.24
SALL2	3.36
TRUB1	14.02
FAM194B	7.08
ZFYVE1	30.51
C10orf82	76.19
HSPA12A	9.91
AP3M2	31.36
ANKRD2	0.44
E2F7	3.71
ARHGAP42	11.89
ISCA2	31.47
OTOGL	0.18
GYLTL1B	3.65
PACSIN3	17.74
SLC39A13	68.02
CNGB1	2.1
AGBL2	40.4
TC2N	10.86
CPSF2	30.67
SERPINA12	0.04
CLMN	109.71
ST6GALNAC2	124.03
SLC6A5	2.35
CCDC38	24.68
NELL1	4.56
PTER	0.66
C1QL3	0.11
CACNB2	1.85
PTPLA	3.17
ARL5B	2.61
CHAT	0.28
KCNC2	0.16
ABTB2	4.69
R3HCC1L	18.96
AMOTL1	24.44
HTRA1	24.51
LIPC	0.85
CEP57	47.8
TCP11L2	12.88
TMCO5A	224.22
GPR176	10.15
JAM3	61.54
IL25	0.41
CMTM5	0.43
ADAMTS15	1.36
SVOP	2.78
SPATA19	149.49
TESK2	25.66
GPT2	29.27
AMN	4.42
RAB8B	38.1
IKBIP	2.35
PPP1R14D	0.0
FBN1	37.95
C16orf80	62.55
AVPR1A	1.68
LRTM2	0.32
TRMT61A	7.39
BTRC	22.6
POLL	71.06
DPCD	253.49
LARP6	143.64
API5	27.45
ASPG	1.98
ALKBH3	20.48
COPS2	18.98
GABRB3	12.33
TBATA	38.18
SGPL1	19.59
FRS2	9.57
CCT2	209.6
PCBD1	25.59
ARIH1	328.67
C16orf71	100.77
CLMP	6.93
SCN3B	2.39
STPG1	65.55
ASB4	1.3
ZNF202	12.12
FAM227B	18.58
CUL5	5.41
CAMK2A	0.26
PLEKHF1	6.52
TMEM100	3.14
SMPD1	16.44
APBB1	64.1
SYNPO2L	0.63
NUDT13	2.97
C11orf65	48.37
TRIM44	22.11
CCDC182	40.01
ILK	91.2
TPP1	34.18
DCHS1	8.2
NETO1	2.46
USP54	20.67
RAG1	0.65
C11orf74	33.54
WDR88	14.17
ATP9B	65.87
PPFIBP2	61.2
CYB5R2	263.53
SERPINB7	0.41
KIAA0355	24.82
SERPINB8	2.23
TUB	8.94
RIC3	6.53
OSBPL3	6.02
WDR72	1.91
CRABP1	1.28
PLD4	0.85
TRIM66	33.79
RNF169	3.32
EPHA8	4.12
CDYL2	23.19
TMEM130	16.49
PRTG	4.35
CENPN	21.31
AKIP1	37.24
C16orf46	22.09
TMEM41B	8.31
LEO1	9.43
SLC12A3	0.1
ZNF143	41.77
TMX3	7.81
WEE1	27.85
PRKCB	8.33
HDGFRP3	96.33
MCM7	138.58
CLEC3A	0.06
RAD18	4.58
CCDC68	3.32
CLEC4E	3.26
ZNF3	10.05
ZSCAN21	8.86
TK2	43.42
TMED3	41.23
ATP2B1	15.15
SLC38A8	2.76
CPLX4	0.24
GALR1	0.13
TMEM135	7.45
IQCD	69.81
NDEL1	41.85
CENPV	25.01
CDH16	0.09
RRAD	10.0
WDR16	47.01
HSP90B1	158.61
MC4R	0.23
BLCAP	42.35
SERPINB12	0.22
ATF7IP2	25.48
TVP23A	2.85
NCK2	44.6
TMPRSS5	1.95
COG1	56.03
PLEKHA7	17.3
B2M	734.24
ZNF592	33.53
CASC4	31.7
HTR3A	0.35
NNMT	59.88
AP1G1	108.16
MAP4K4	113.32
SAAL1	24.25
YPEL4	3.62
PPIB	122.14
MGAT4A	7.85
KIF7	3.96
LDHD	1.64
PLIN1	10.9
ANPEP	11.19
SCNN1G	0.23
RBPMS2	13.43
NAV2	3.37
ANKDD1A	11.53
DCTN5	36.08
TERF2IP	57.9
PLK1	69.89
GPR182	2.06
ZBTB39	11.44
WDR1	578.68
CACNG2	0.6
TAC3	4.33
MYO1A	2.61
OR4D6	0.13
NAB2	34.66
VPS39	22.17
STAT6	58.54
PATL1	18.21
SNX13	16.6
XRCC6BP1	65.29
ELFN2	2.96
STX3	25.56
PIP4K2C	37.19
MTMR10	19.14
SCG5	16.93
GREM1	1.03
TSC22D4	21.59
MS4A14	103.55
MS4A5	24.21
DIS3L	22.35
EPB42	9.58
TGM6	0.06
SMAD3	14.39
MS4A15	0.93
MAP1A	10.06
AKTIP	71.09
EVA1C	26.86
RPS6KA2	13.95
CNPY4	9.52
C15orf43	17.63
NKX3-1	8.22
SGSM1	3.4
TEF	17.98
ING3	7.66
B4GALNT2	1.12
PBX3	20.16
GNGT2	1.0
PHB	73.6
SNRPD1	35.65
TTC16	31.77
SUN5	36.04
SAMD14	5.61
PIP5KL1	1.89
VASH1	11.3
BPIFB6	0.05
FAM102A	66.72
ACSF2	16.88
COQ4	25.35
SLC27A4	44.68
URM1	37.97
CERCAM	22.61
DOLPP1	7.01
LMCD1	15.61
PRRX2	16.06
C15orf39	143.95
SP2	24.45
PRR15L	4.37
GPRC5B	48.93
CRK	33.01
FBXO22	30.78
TBC1D2B	26.39
NOD2	2.44
SNX20	0.99
LOXHD1	141.89
KATNAL2	36.47
SEL1L	19.07
RNF214	47.71
DUS2	53.96
ENGASE	20.58
RBFOX3	41.37
TBC1D16	5.63
ENTHD2	30.42
MYO5B	21.52
ACAA2	39.24
STIM1	44.71
RRM1	41.8
OR51E2	0.22
MMP26	0.14
OR51I1	0.0
ZNF668	6.94
ZNF646	55.63
GNG8	1.54
TCF3	309.66
SMG8	5.86
TPM4	280.07
RAB8A	58.02
GPX4	2747.53
MIDN	44.07
FAM129C	2.04
KLHL26	7.21
TRIB2	30.08
ANKRD11	78.22
ZNF641	9.82
LALBA	0.95
CACNB3	28.3
DAZAP1	337.98
DHRS13	4.38
KMT2D	25.82
CORO6	5.96
MBD3	50.81
CYP2S1	1.36
AXL	29.33
NFKBID	5.42
TMC4	3.55
TTYH1	17.8
LENG8	235.74
CRLF1	6.12
TMEM145	6.2
ZNF526	12.52
TRAPPC9	31.16
PPP1R14A	71.95
SPINT2	265.02
HLTF	11.81
ATCAY	0.78
LY6D	0.42
DAPK3	139.89
EEF2	1388.95
CHAF1A	30.45
HDGFRP2	153.82
PLIN4	3.3
SEMA6B	7.13
FAM57A	29.27
GLOD4	67.31
MFSD3	5.01
GPT	5.92
KIFC2	33.26
SLC43A2	12.09
RILP	4.47
FAM3A	21.3
SERPINF2	12.78
WDR81	13.1
CYB5D2	80.97
KLK5	25.21
CPSF1	221.9
KLK11	28.63
ACER1	1.17
OTUB1	101.99
MYO3B	1.04
CABP2	0.0
NDUFV1	213.07
CDK2AP2	21.28
CYBRD1	75.61
TBX10	0.51
HID1	15.73
ICT1	9.4
CDH19	1.11
TMEM88	3.45
SRP68	54.51
MGAT5B	3.72
TMC8	4.06
TMEM68	6.08
SLC6A15	1.24
GHDC	8.58
SOST	0.06
ZNF598	47.85
RAB26	2.03
MLST8	90.35
E4F1	27.79
DNASE1L2	0.49
CASKIN1	1.51
RDH11	15.42
KCTD5	12.27
SRRM2	457.46
NLRC3	1.72
DDB1	134.12
OSBPL7	1.89
BEST1	8.02
BSCL2	252.39
POLR2G	40.8
SLC3A2	52.73
C11orf84	75.86
ATG16L2	17.22
C2CD3	45.02
TRANK1	4.56
TTC21A	104.9
LPHN1	25.32
ENTPD3	0.51
CTNNB1	52.27
ULK4	24.75
FADD	8.18
LTBP3	55.35
NAALADL1	18.37
SF1	461.88
SPP2	9.08
CCDC88B	21.45
SCARA3	9.07
SCARA5	38.09
PNOC	0.74
PAFAH1B2	53.84
ANKS3	19.85
ACTN1	99.17
NUDT16L1	12.08
RAB4A	46.38
KCNJ4	1.58
SETD5	65.67
FAM83B	0.58
ZFYVE26	5.13
DDIT4	118.48
LMBRD1	11.77
ZCCHC4	4.46
TTC39C	24.74
GNG4	2.82
RPS6KA6	2.02
UBTD2	44.98
NKIRAS2	40.71
KCNV2	5.53
IRF2BP2	115.94
PTF1A	3.61
NT5DC2	70.76
FOXI1	0.17
SMIM4	18.23
EPN2	76.23
KIF5C	29.27
MGAT2	18.52
THAP11	20.46
PXK	18.75
KCTD6	4.41
ACOX2	4.59
IRF2	11.78
MOBP	14.17
CX3CR1	0.34
C8orf22	0.0
XIRP1	0.1
LIMS2	28.76
ARF4	92.56
FILIP1L	35.89
MFSD2A	13.39
TAP1	9.39
ING5	22.6
ATG4B	94.08
BDKRB2	2.28
ASIC4	1.03
RFWD3	35.66
MTNR1A	2.22
KCNG4	0.16
RHOH	1.73
COG7	18.69
CDC40	11.03
SCNN1B	0.98
TMEM98	35.38
SPEG	23.09
HR	10.26
RAB31	48.62
REEP4	93.96
TNXB	10.53
LGI3	1.67
SFTPC	2.52
BMP1	11.11
LNX1	12.77
POLR3D	38.57
FEN1	17.46
SDPR	5.48
SOGA2	14.07
GBX2	0.42
HFE2	5.52
ALDH3A2	17.68
MYL1	0.24
TRAPPC11	21.85
CHRM1	0.51
COL3A1	18.01
ING2	25.83
CDKN2AIP	40.25
SNRNP48	1.62
SLC20A2	21.71
DYNLRB2	195.06
TMUB2	59.59
STAT3	73.23
ZSWIM1	9.74
ADAM18	6.75
GDNF	0.67
SREBF1	77.51
AXIN2	18.19
VWA3B	118.1
FAM84B	1.28
LDLRAD4	27.7
KCTD19	71.88
SLC16A4	3.05
IL7R	3.5
TMEM208	18.6
AHCYL1	53.77
PKIG	148.59
NPNT	6.55
CA7	1.2
FAM178B	18.39
SEMA4C	10.44
CNNM3	28.2
TET2	1.52
CXXC4	1.41
AFF4	25.87
TCTN2	19.76
SHOX2	5.24
PPIP5K1	36.42
TSPAN5	12.04
ABHD15	1.85
ZBTB5	6.23
SNTB2	50.76
IL12A	0.86
ZNF507	23.47
NSG1	11.19
ZBTB49	5.62
GFM1	20.42
ATOH8	9.96
SOX14	0.3
MPP5	10.65
SFTPB	1.16
USP39	50.17
TNIP2	36.29
TMEM150A	33.82
RHOBTB1	39.51
ZNF608	14.34
SLC35G2	6.56
INPP5D	14.13
LETM1	26.79
TMEM129	14.68
PPIC	8.43
SPRY3	0.16
CEP120	14.9
STXBP6	7.99
TM4SF20	2.66
CPLX1	11.39
PXDC1	16.26
E2F6	11.95
FEM1B	80.43
COMMD8	11.61
MFSD7	27.0
MAP2K1	30.07
KLK7	0.33
IRS1	2.96
MECP2	20.52
AR	5.11
MARK2	16.84
DHRSX	9.85
C8orf46	2.26
HSPBAP1	11.45
PARM1	22.08
FAM110B	6.46
AFAP1L2	3.99
HMMR	16.07
GOT1L1	15.46
ZBTB43	19.09
CPT1C	24.27
XPO6	150.11
GSG1L	2.28
APEX2	6.14
CHFR	53.11
NSMCE1	146.86
CCDC126	34.76
RAB3B	0.59
CD2BP2	31.37
RSPO1	0.86
RGS14	15.73
TBC1D10B	91.12
TRHDE	3.11
RAB24	23.85
THBS3	63.93
CA5B	5.68
SLC50A1	12.0
EFNA1	7.98
CXCL10	0.69
SH3TC2	3.87
P4HA2	21.84
NMD3	15.75
ADRB2	1.1
B3GALNT1	7.09
GPRIN1	1.49
KCNAB1	7.2
SHE	17.21
NFATC3	46.55
NR0B1	4.63
STK32A	1.84
IL1RAPL1	0.28
P2RY12	0.15
PDILT	19.45
UMOD	0.94
GP2	1.34
SLC33A1	6.91
SNUPN	70.49
CRADD	14.84
SIN3A	57.47
ARL13B	7.92
PTK2	73.99
PTAFR	1.44
ACADVL	382.92
PTPN9	10.94
KCNK9	0.87
IL8	4.04
SCN9A	1.05
RASSF6	0.65
COL22A1	4.03
SDC2	79.95
MAP3K14	21.09
STK10	40.09
OR4K14	0.07
TM2D2	39.73
HTRA4	1.13
PLEKHA2	16.65
GPR183	4.44
FBXW11	21.46
METTL15	5.47
ZEB2	22.01
GJB1	4.16
CLIC3	1.35
BNC1	47.11
DFFB	2.3
ACAP1	237.68
ANTXR1	22.16
GKN1	0.08
APLF	3.65
LUZP1	10.95
HEXDC	19.38
CRMP1	10.14
DRD5	0.18
SPNS1	21.65
LRRC45	4.86
CHRNA5	1.67
AGPAT2	32.45
GP9	1.84
FASN	30.07
EVC	6.38
CNBP	194.38
GPS1	147.86
LDB2	14.76
NRG4	18.85
DERL2	107.07
C15orf27	11.46
NLGN1	6.2
TAPT1	40.27
TAS2R1	1.72
LINGO1	10.73
BTD	31.61
CSGALNACT2	7.72
TACR3	0.04
GSX1	0.0
SIDT1	3.48
PCDH7	2.09
ONECUT1	4.18
AVEN	14.2
P2RY1	0.95
CTNND2	21.24
MUC17	0.18
AHSP	5.27
NDE1	29.78
TPST1	25.45
TM4SF4	1.27
S100G	0.0
MRVI1	16.08
OTUD7A	15.74
KLF13	13.03
FRMPD4	0.14
ZFPM2	10.83
TAS1R3	0.84
TMEM42	31.92
MAP3K2	17.9
TMEM38A	3.6
SF3B5	78.78
TIGD4	2.26
NLGN2	13.1
CHD3	79.44
AP1M1	124.54
ALCAM	4.87
UBE2E3	58.78
CNTROB	139.8
TRAPPC1	85.23
ZPLD1	0.4
KCNAB3	4.54
GPR37L1	0.27
TMEM192	7.44
NSG2	12.33
SERPINA6	0.04
NIPA1	10.35
UBE2E1	40.7
SIK2	10.92
RNF150	6.04
VGLL2	0.48
HOXD4	0.87
XRCC1	56.08
CHRNB1	5.63
USP38	5.76
SLC16A5	12.26
ANKK1	1.24
ADRA1B	0.42
ADPRM	6.27
FABP6	2.18
SCARB1	81.18
PWWP2A	5.79
USP50	9.66
USP47	19.87
PDCD6IP	145.41
ZNF212	14.41
FAM161A	18.88
ZNF282	6.72
CYP2W1	0.58
FAXDC2	41.22
CRTAP	115.69
CNGB3	1.66
CMTM8	1.32
MCM2	20.97
STX8	195.53
NFRKB	32.53
PRDM10	4.03
FOS	42.25
SETMAR	10.4
MOV10L1	40.0
EMX2	3.97
SEMA3E	0.72
LRRN2	3.35
SLC30A1	7.55
DCLK2	6.67
GPRC5C	11.38
TMEM182	17.93
PANX2	7.44
VSTM2A	3.31
KRT78	1.89
ADORA2B	1.59
METTL7B	0.57
NFXL1	15.84
SELO	36.55
DENND5B	23.68
CD14	16.39
DNAJC18	194.1
AC005280.1	7.5
RALGAPB	29.26
